20200825,,00078,G101010
20200825,,00005,G101010
20200825,00100,00100,G101011
20200825,,00039,G101010
20200825,,00099,G101010
20200825,00038,00038,G101010
20200825,00033,00033,G101011
20200825,,00035,G101011
20200825,00060,00060,G101011
20200825,,00094,G101011
20200825,,00014,G101010
20200825,,00064,G101010
20200825,00030,00030,G101010
20200825,,00022,G101010
20200825,00015,00015,G101011
20200825,00020,00020,G101011
20200825,00067,00067,G101011
20200825,00058,00058,G101011
20200825,,00014,G101010
20200825,,00017,G101011
20200825,00061,00061,G101010
20200825,,00053,G101010
20200825,00077,00077,G101010
20200825,00070,00070,G101010
20200825,00024,00024,G101010
20200825,00008,00008,G101011
20200825,,00064,G101011
20200825,,00046,G101011
20200825,,00071,G101010
20200825,,00007,G101011
20200825,00094,00094,G101011
20200825,00026,00026,G101011
20200825,,00043,G101011
20200825,,00100,G101010
20200825,,00040,G101011
20200825,00053,00053,G101011
20200825,00010,00010,G101011
20200825,,00041,G101010
20200825,00050,00050,G101011
20200825,,00033,G101010
20200825,00021,00021,G101010
20200825,00075,00075,G101010
20200825,00070,00070,G101011
