20200706,,00017,G101010
20200706,,00009,G101011
20200706,00095,00095,G101011
20200706,00080,00080,G101011
20200706,,00001,G101011
20200706,00062,00062,G101011
20200706,00095,00095,G101011
20200706,00064,00064,G101010
20200706,00069,00069,G101011
20200706,,00061,G101010
20200706,,00028,G101011
20200706,,00060,G101010
20200706,,00073,G101011
20200706,00023,00023,G101011
20200706,00023,00023,G101010
20200706,,00057,G101011
20200706,00070,00070,G101011
20200706,,00083,G101010
20200706,00013,00013,G101010
20200706,00034,00034,G101010
20200706,00094,00094,G101011
20200706,,00093,G101011
20200706,,00019,G101010
20200706,,00063,G101011
20200706,,00017,G101010
20200706,00069,00069,G101011
20200706,,00083,G101011
20200706,00015,00015,G101011
20200706,,00049,G101011
20200706,00077,00077,G101011
20200706,,00026,G101011
20200706,,00076,G101011
20200706,,00000,G101010
20200706,00053,00053,G101010
20200706,00042,00042,G101011
20200706,,00045,G101010
20200706,00015,00015,G101011
20200706,00010,00010,G101010
20200706,,00086,G101011
20200706,,00000,G101010
20200706,00046,00046,G101010
