20200903,,00047,G101011
20200903,,00096,G101011
20200903,00072,00072,G101010
20200903,00023,00023,G101010
20200903,,00079,G101011
20200903,00100,00100,G101011
20200903,00078,00078,G101011
20200903,,00079,G101011
20200903,00014,00014,G101010
20200903,,00095,G101010
20200903,00006,00006,G101011
20200903,00021,00021,G101011
20200903,00088,00088,G101011
20200903,,00096,G101011
20200903,00052,00052,G101011
20200903,,00040,G101010
20200903,,00033,G101011
20200903,,00028,G101011
20200903,00024,00024,G101011
20200903,00077,00077,G101010
20200903,,00067,G101011
20200903,00007,00007,G101011
20200903,,00079,G101011
20200903,,00031,G101010
20200903,,00011,G101010
20200903,,00097,G101010
